2010-05-08 00:20:04	HTTP=200	OK		ID=143632	$7		factory mf $7 (7) + @1
2010-05-08 00:20:51	HTTP=200	OK		ID=143632	$3		factory mf $3 (3) + @0
2010-05-08 00:21:37	HTTP=200	OK		ID=143632	$7		factory mf $7 (7) + @0
2010-05-08 00:22:58	HTTP=200	OK		ID=132550	$3		factory mf $3 (3) + @0
2010-05-08 00:23:16	HTTP=200	OK		ID=132550	$3		factory mf $3 (3) + @0
2010-05-08 00:23:31	HTTP=200	OK		ID=132550	$3		factory mf $3 (3) + @0
2010-05-08 00:23:53	HTTP=200	OK		ID=132550	$3		factory mf $3 (3) + @0
2010-05-08 00:27:24	HTTP=200	OK		ID=227852	$3		factory mf $3 (3) + @4
2010-05-08 00:27:29	HTTP=200	OK		ID=227852	$8		factory mf $8 (8) + @0
2010-05-08 00:27:32	HTTP=200	OK		ID=227852	$9		factory mf $9 (9) + @0
2010-05-08 00:27:36	HTTP=200	OK		ID=227852	$10		factory mf $10 (10) + @0
2010-05-08 00:27:45	HTTP=200	OK		ID=227852	$12		factory mf $12 (12) + @0
2010-05-08 00:29:58	HTTP=200	OK		ID=135346	$11		factory mf $11 (11) + @19
2010-05-08 00:33:31	HTTP=200	OK		ID=135346	$30		factory mf $30 (30) + @0
2010-05-08 00:37:16	HTTP=200	OK		ID=135346	$37		factory mf $37 (37) + @0
2010-05-08 00:38:17	HTTP=200	OK		ID=135346	$30		factory mf $30 (30) + @0
2010-05-08 00:44:50	HTTP=200	OK		ID=134142	$3		factory mf $3 (3) + @0
2010-05-08 00:44:54	HTTP=200	OK		ID=134142	$4		factory mf $4 (4) + @0
2010-05-08 00:44:59	HTTP=200	OK		ID=134142	$5		factory mf $5 (5) + @0
2010-05-08 00:45:04	HTTP=200	OK		ID=134142	$6		factory mf $6 (6) + @0
2010-05-08 00:45:10	HTTP=200	OK		ID=134142	$7		factory mf $7 (7) + @0
2010-05-08 00:45:15	HTTP=200	OK		ID=134142	$8		factory mf $8 (8) + @0
2010-05-08 00:45:21	HTTP=200	OK		ID=134142	$9		factory mf $9 (9) + @0
2010-05-08 00:45:28	HTTP=200	OK		ID=134142	$10		factory mf $10 (10) + @0
2010-05-08 00:54:52	HTTP=200	OK		ID=188239	$5		factory mf $5 (5) + @0
2010-05-08 01:03:04	HTTP=200	OK		ID=239879	$1		factory mf $1 (1) + @2
2010-05-08 01:03:31	HTTP=200	OK		ID=239879	$4		factory mf $4 (4) + @0
2010-05-08 01:11:07	HTTP=200	OK		ID=47641	$6		factory mf $6 (6) + @3
2010-05-08 01:29:45	HTTP=200	OK		ID=53734	$1		factory mf $1 (1) + @6
2010-05-08 01:29:58	HTTP=200	OK		ID=53734	$8		factory mf $8 (8) + @0
2010-05-08 01:31:02	HTTP=200	OK		ID=53734	$9		factory mf $9 (9) + @0
2010-05-08 01:34:53	HTTP=200	OK		ID=53734	$10		factory mf $10 (10) + @0
2010-05-08 01:42:05	HTTP=200	OK		ID=154492	$1		factory mf $1 (1) + @8
2010-05-08 02:19:42	HTTP=200	OK		ID=159647	$1		factory mf $1 (1) + @6
2010-05-08 02:21:25	HTTP=200	OK		ID=92922	$5		factory mf $5 (5) + @5
2010-05-08 02:55:49	HTTP=200	OK		ID=136318	$8		factory mf $8 (8) + @2
2010-05-08 03:09:10	HTTP=200	OK		ID=140156	$3		factory mf $3 (3) + @6
2010-05-08 03:09:37	HTTP=200	OK		ID=140156	$3		factory mf $3 (3) + @6
2010-05-08 03:20:32	HTTP=200	OK		ID=136318	$8		factory mf $8 (8) + @2
2010-05-08 03:40:19	HTTP=200	OK		ID=135346	$22		factory mf $22 (22) + @8
2010-05-08 03:40:27	HTTP=200	OK		ID=135346	$22		factory mf $22 (22) + @8
2010-05-08 03:49:27	HTTP=200	OK		ID=27817	$15		factory mf $15 (15) + @0
2010-05-08 06:56:59	HTTP=200	OK		ID=80796	$1		factory mf $1 (1) + @18
2010-05-08 07:32:09	HTTP=200	OK		ID=44		$10		factory mf $10 (10) + @20
2010-05-08 07:46:33	HTTP=200	OK		ID=178928	$9		factory mf $9 (9) + @0
2010-05-08 07:57:17	HTTP=200	OK		ID=157458	$1		factory mf $1 (1) + @2
2010-05-08 07:57:36	HTTP=200	OK		ID=157458	$1		factory mf $1 (1) + @2
2010-05-08 07:57:39	HTTP=200	OK		ID=157458	$1		factory mf $1 (1) + @2
2010-05-08 08:23:58	HTTP=200	OK		ID=179668	$3		factory mf $3 (3) + @0
2010-05-08 08:24:03	HTTP=200	OK		ID=179668	$3		factory mf $3 (3) + @0
